name,amenity,lat,lon
Siva Sivani Public School,school,17.7209547,83.3315061
Visakha Homeo Clinic,hospital,17.7224616,83.3094001
Nikitha Hospital,hospital,17.7426705,83.3146285
Sri Sairam Tiffins & Meals,restaurant,17.7358516,83.3211329
Appolo Pharmacy,pharmacy,17.743378,83.3351151
Foodland,restaurant,17.7433132,83.316728
Padmaja Hospital - Seethammadhara,hospital,17.7436298,83.3146125
Sairam Parlour,restaurant,17.7263144,83.303268
Jyothi Nursing Home,hospital,17.739081,83.3229595
Kamat,restaurant,17.7218843,83.318374
Pizza Hut,restaurant,17.7264696,83.3053084
Durga Nursing Home,hospital,17.7362275,83.2713316
Zeeshan Restaurant,restaurant,17.7118301,83.3014693
Alpha,restaurant,17.7121827,83.3017677
Alkapuri,restaurant,17.7129302,83.2997229
Nelluru Vaari Mess,restaurant,17.7153833,83.3015243
manjeera,restaurant,17.7151419,83.3010053
Eleven,restaurant,17.7241818,83.3175507
Vasu Deva Rao Clinic,clinic,17.7249342,83.3339991
Flying Spaghetti Monster,restaurant,17.7212175,83.3148642
Systems Design,school,17.7230565,83.3270212
Rama Hospitals,hospital,17.7375272,83.3071191
kalavathi hospital,hospital,17.7824442,83.2706719
LV Prasad Eye Hospital,hospital,17.7568569,83.3309144
Deccan Fried Chicken,restaurant,17.8004017,83.2100102
KIMS (formerly Queens NRI Hospital),hospital,17.7404353,83.3080536
Sri Venkateshwara Nursing Hospital,hospital,17.7147802,83.307414
Amulya Hospitals,hospital,17.7154685,83.3086985
kinnera mess,restaurant,17.7369086,83.3047732
Madhura inn restaurant & function hall,restaurant,17.7332822,83.3043675
Kala Hospital,hospital,17.7288521,83.3056846
Sri Venkateshwara Medicals,pharmacy,17.6890131,83.2419105
Guntur Mess,restaurant,17.6889118,83.2426004
gongura restaurant,restaurant,17.7460013,83.2387016
venkatadri vantillu,restaurant,17.7446743,83.2366431
Chaitanya Public School,school,17.6574107,83.132655
Delhi Public School Visakhapatnam,school,17.653747,83.1360611
Dr. VJs Cosmetic Surgery& Hair Transplantation Centre,hospital,17.7236037,83.2984784
Maa Kitchen,restaurant,17.7577154,83.2208551
sri gawri degree and PG College,college,17.7354822,83.2716113
Smiles Dental,clinic,17.7261703,83.3026853
Shivashanthi Restaurant,restaurant,17.7121488,83.3011842
Helapuri,restaurant,17.711948,83.3016479
St. Joseph's Hospital,hospital,17.7113427,83.3120581
shantiniketan mental health centre,hospital,17.710893,83.3118425
Mycure hospital,hospital,17.7120173,83.3146963
Baskinrobins,restaurant,17.7126305,83.314632
Surya skin care,hospital,17.7141226,83.3143316
NBM law college,school,17.7135912,83.3136878
Krishna Hospital,hospital,17.7100754,83.3109627
Aaradhya fertility centre,hospital,17.7149198,83.3128724
Sagar Durga Hospital,hospital,17.7086688,83.3109667
Simply south tiffins,restaurant,17.7101163,83.3113275
Shri Venkataramana Hospital,hospital,17.7090399,83.3111357
sai siddhartha biryani house,restaurant,17.7090943,83.3103619
SKML noodles point,restaurant,17.7144701,83.3114777
Bethany school,school,17.7105591,83.3137921
ABC hospital,hospital,17.7070739,83.3090178
Apex hospital,hospital,17.7075645,83.3089749
Usa hospital,hospital,17.7078558,83.3087882
Simhadri Hospital,hospital,17.7082343,83.3104939
Apollow pharmacy,hospital,17.7082036,83.3099146
Nature cure hospital,hospital,17.7076415,83.3111377
Life  medical centre,hospital,17.7076108,83.308198
Doctors care medical centre,hospital,17.7079072,83.3093781
Sriddha hospital,hospital,17.7081218,83.3094103
Pinnacle,hospital,17.7636985,83.3082425
Q1 Hospitals,hospital,17.7624241,83.3078726
GIMS,hospital,17.7620819,83.3116458
Apollo,hospital,17.7605744,83.317188
samyuktha degree college,school,17.7004791,82.9988644
Apex Hospital,hospital,17.7067706,83.3090204
Dj Clinic,hospital,17.7440297,83.3354643
Ramyasai Nursing Home,hospital,17.6861622,83.0016124
Vision Care Centre (Super Speciality Eye Hospital),hospital,17.7277139,83.295486
Apoorva Hospital,hospital,17.7300554,83.3075653
Anapoorna Hospital,hospital,17.7273371,83.3047865
Maxivision Super Speciality Eye Hospitals,hospital,17.7269219,83.304584
Care Dental Hospital,hospital,17.7363435,83.307247
M.G.R. Hospital,hospital,17.7325361,83.3309823
Rhea Hospital,hospital,17.7092414,83.3041777
Adarsha Orthopaedic Center,hospital,17.7109406,83.3117884
Prabha Clinic and Nursing Home,hospital,17.7162921,83.3041039
Mythri Nursing Home,hospital,17.7071258,83.3089118
Gowtami Hospital,hospital,17.6825514,83.2063977
Satyam Hospital,hospital,17.7499948,83.2187018
Venkatarama Hospital,hospital,17.7278327,83.3031356
SR Hospital,hospital,17.752968,83.2173438
Good Health New Central Hospital,hospital,17.7379611,83.3055443
Dr Rama Rao Hospital,hospital,17.7332163,83.2790163
Vijetha Hospital,hospital,17.7106199,83.3030283
Sun Multi Speciality Hospital,hospital,17.7350755,83.277593
Abc Hospital,hospital,17.7061715,83.3092725
Suma Maternity Home,hospital,17.7463633,83.2642758
"Lion Dist 324 C, Cancer Treatment and Research Center",hospital,17.7443962,83.3083713
Amg Hospital,hospital,17.7382076,83.3146349
Indus Hospitals,hospital,17.7108601,83.3026153
Visakha Ent Hospital,hospital,17.7264096,83.3107545
Susruta Hospital,hospital,17.6853215,83.208107
R K Hospital,hospital,17.6824479,83.1970797
Padmasri Hospital,hospital,17.7382447,83.3036815
Raghavendra Hospital,hospital,17.739964,83.3041066
Sujatha Hospital,hospital,17.6840514,83.1985898
Centre For Sight,hospital,17.7364998,83.3044016
Krishna Maternity And Nursing Home,hospital,17.7288061,83.293823
Amrutha Nursing Home Private Limited,hospital,17.69981,83.2960858
Padmaja Hospital - Gajuwaka,hospital,17.6867743,83.203619
Care Hospital - Maharanipet,hospital,17.7097505,83.3054544
Samudra Hospitals,hospital,17.7103989,83.3037458
Vikram Hospital,hospital,17.6870707,83.0013013
Abhaya Critical Care,hospital,17.7102328,83.3043534
Sunita Nursing Home,hospital,17.7362763,83.3115497
Waltair Multicare Hospital,hospital,17.7320085,83.333627
Siddharth Hospital,hospital,17.7118451,83.3038954
Visakha Children Hospital,hospital,17.7108448,83.3125274
Sraddha Hospital,hospital,17.7083599,83.3086663
Tirumala Vijaya Hospital,hospital,17.7440143,83.3352873
